PAIR,TIME,DIRECTION,ENTRY,SL,TP,EXIT,PNL%,RESULT
BTCUSDT,2025-07-21 06:35:00,buy,119273.90,118080.73,121182.98,118080.73,-1.00,loss
BTCUSDT,2025-07-21 06:40:00,buy,119111.90,118080.89,120761.52,118080.89,-0.87,loss
BTCUSDT,2025-07-21 07:05:00,buy,119381.20,118080.62,121462.13,118080.62,-1.09,loss
BTCUSDT,2025-07-21 07:15:00,buy,119405.00,118150.60,121412.05,118150.60,-1.05,loss
BTCUSDT,2025-07-21 07:35:00,buy,119461.90,118180.64,121511.92,118180.64,-1.07,loss
ETHUSDT,2025-07-21 01:25:00,sell,3732.91,3770.78,3672.31,3770.78,-1.01,loss
ETHUSDT,2025-07-21 02:25:00,buy,3738.23,3697.74,3803.01,3803.01,1.73,win
ETHUSDT,2025-07-21 04:20:00,buy,3761.66,3732.76,3807.90,3807.90,1.23,win
ETHUSDT,2025-07-21 04:30:00,buy,3770.68,3732.75,3831.37,3831.37,1.61,win
ETHUSDT,2025-07-21 05:55:00,buy,3780.13,3744.53,3837.09,3837.09,1.51,win
ETHUSDT,2025-07-21 06:05:00,buy,3779.79,3744.53,3836.21,3836.21,1.49,win
ETHUSDT,2025-07-21 09:00:00,sell,3779.01,3817.74,3717.04,3817.74,-1.02,loss
ETHUSDT,2025-07-21 10:15:00,sell,3783.98,3814.35,3735.38,3814.35,-0.80,loss
SOLUSDT,2024-06-30 09:30:00,buy,141.42,140.07,143.58,143.58,1.53,win
SOLUSDT,2024-06-30 10:40:00,sell,140.59,141.87,138.54,141.87,-0.91,loss
SOLUSDT,2024-06-30 10:50:00,sell,140.52,141.87,138.36,141.87,-0.96,loss
SOLUSDT,2024-06-30 11:00:00,buy,140.80,140.16,141.83,141.83,0.73,win
SOLUSDT,2024-06-30 11:10:00,buy,141.22,140.16,142.92,142.92,1.20,win
SOLUSDT,2024-06-30 13:20:00,buy,141.70,140.37,143.83,143.83,1.50,win
SOLUSDT,2024-06-30 13:25:00,buy,141.90,140.37,144.35,144.35,1.73,win
SOLUSDT,2024-06-30 13:40:00,buy,141.65,140.37,143.70,143.70,1.45,win
SOLUSDT,2024-06-30 14:05:00,buy,141.91,140.37,144.38,144.38,1.74,win
SOLUSDT,2024-06-30 14:40:00,buy,141.73,140.79,143.24,143.24,1.07,win
SOLUSDT,2024-06-30 15:15:00,buy,142.78,141.30,145.15,145.15,1.66,win
SOLUSDT,2024-06-30 16:30:00,buy,142.83,141.84,144.42,144.42,1.11,win
SOLUSDT,2024-06-30 17:25:00,buy,143.69,142.45,145.68,145.68,1.38,win
BNBUSDT,2025-07-22 15:50:00,buy,764.10,757.64,774.44,774.44,1.35,win
BNBUSDT,2025-07-22 16:40:00,buy,770.30,762.73,782.41,782.41,1.57,win
BNBUSDT,2025-07-22 16:45:00,buy,770.70,762.73,783.45,783.45,1.65,win
BNBUSDT,2025-07-22 17:15:00,buy,766.70,762.73,773.05,773.05,0.83,win
BNBUSDT,2025-07-22 19:25:00,buy,774.80,766.43,788.20,788.20,1.73,win
BNBUSDT,2025-07-22 19:50:00,buy,772.10,766.73,780.70,780.70,1.11,win
BNBUSDT,2025-07-22 20:05:00,buy,774.60,768.53,784.32,784.32,1.25,win
BNBUSDT,2025-07-22 20:10:00,buy,775.90,768.52,787.70,787.70,1.52,win
BNBUSDT,2025-07-23 02:05:00,buy,789.20,785.91,794.46,794.46,0.67,win
XRPUSDT,2025-07-22 16:05:00,sell,3.51,3.54,3.47,3.54,-0.88,loss
XRPUSDT,2025-07-22 20:10:00,buy,3.55,3.52,3.60,3.52,-0.85,loss
XRPUSDT,2025-07-22 22:05:00,sell,3.54,3.56,3.50,3.50,1.07,win
XRPUSDT,2025-07-22 22:10:00,sell,3.54,3.56,3.50,3.50,1.04,win
XRPUSDT,2025-07-22 23:45:00,buy,3.55,3.52,3.60,3.52,-0.90,loss
XRPUSDT,2025-07-23 00:05:00,buy,3.54,3.52,3.57,3.52,-0.57,loss
XRPUSDT,2025-07-23 00:10:00,sell,3.54,3.56,3.51,3.51,0.84,win
XRPUSDT,2025-07-23 00:20:00,sell,3.54,3.56,3.50,3.50,1.07,win
